agecat,generation,category,,,,,,,,,,
age04,Alpha,Pre-workforce,,,,,,,,,,
age59,Alpha,Pre-workforce,,,,,,,,,,
age1014,Z,Pre-workforce,,,,,,,,,,
age1519,Z,Early workforce or education,,,,,,,,,,
age2024,Z,Early workforce or education,,,,,,,,,,
age2529,Millennial,Prime age,,,,,,,,,,
age3034,Millennial,Prime age,,,,,,,,,,
age3539,Millennial,Prime age,,,,,,,,,,
age4044,Millennial,Prime age,,,,,,,,,,
age4549,X,Prime age,,,,,,,,,,
age5054,X,Prime age,,,,,,,,,,
age5559,X,Near retirement,,,,,,,,,,
age6064,Baby Boomer,Near retirement,,,,,,,,,,
age6569,Baby Boomer,Retired,,,,,,,,,,
age7074,Baby Boomer,Retired,,,,,,,,,,
age7579,Baby Boomer,Retired,,,,,,,,,,
age8084,Silent,Retired,,,,,,,,,,
age85plus,Silent,Retired,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,