sfips,returns_in,indiv_in,agi_in,year
1,44507,94198,2134148,2014
2,15807,31390,769463,2014
4,98161,191416,5788883,2014
5,29055,60802,1334920,2014
6,252717,453621,17029143,2014
8,97185,179708,5741633,2014
9,36030,63798,3326564,2014
10,15655,28928,976974,2014
11,27760,38641,1767296,2014
12,292837,550506,22610240,2014
13,129244,263939,6505633,2014
15,27046,53995,1453233,2014
16,25028,53335,1282273,2014
17,94909,169508,5687865,2014
18,56206,111530,2734430,2014
19,28849,56312,1353778,2014
20,37035,75755,1965765,2014
21,41691,84050,1899066,2014
22,40886,80828,1785806,2014
23,14740,25568,872697,2014
24,82263,152533,4664832,2014
25,64653,104425,4684977,2014
26,61548,116354,3519164,2014
27,44661,81160,2545602,2014
28,28048,58923,1164497,2014
29,60301,117185,3055038,2014
30,16450,31188,851717,2014
31,19702,39580,924075,2014
32,57846,109575,3432679,2014
33,21331,36456,1527838,2014
34,81033,146439,5992121,2014
35,27447,54759,1373650,2014
36,150351,243434,10642278,2014
37,129519,258281,7387982,2014
38,17766,33569,856442,2014
39,79729,152071,4281647,2014
40,40794,85980,1931730,2014
41,57751,104220,3074675,2014
42,96817,176413,5922541,2014
44,13158,22556,768515,2014
45,70671,141698,4406095,2014
46,12525,23833,662391,2014
47,81530,163902,4469073,2014
48,308792,643075,17255260,2014
49,31181,69959,1844850,2014
50,8996,14667,480779,2014
51,118828,232128,7418424,2014
53,101663,194560,5927334,2014
54,17208,33216,776639,2014
55,43497,80756,2338486,2014
56,12911,25533,768673,2014
1,33716,67747,1515297,2015
2,12294,22884,601986,2015
4,73817,137346,4593065,2015
5,22230,44480,984892,2015
6,200999,344232,13587730,2015
8,76123,131276,4507290,2015
9,27588,47645,2418486,2015
10,12050,22041,806699,2015
11,22712,31280,1584958,2015
12,236191,425387,21266473,2015
13,101627,199299,4889104,2015
15,21959,41666,1179128,2015
16,18284,36633,953883,2015
17,73426,126459,4246750,2015
18,41152,78653,1938746,2015
19,20961,39240,923049,2015
20,26943,52381,1276087,2015
21,31361,60365,1356766,2015
22,32073,61174,1536488,2015
23,10176,16548,568172,2015
24,60429,107742,3396285,2015
25,49424,76243,3561556,2015
26,44561,81229,2389588,2015
27,32980,57322,1942918,2015
28,22310,45508,903605,2015
29,44101,81283,2215637,2015
30,12052,21139,673524,2015
31,14468,27629,642369,2015
32,46715,86378,3357675,2015
33,15851,25717,1119097,2015
34,64439,114639,4904929,2015
35,21097,41410,1028528,2015
36,123949,194081,9280577,2015
37,96732,183169,5477905,2015
38,15060,27024,738567,2015
39,57867,105210,2865701,2015
40,30730,62297,1410301,2015
41,44650,76830,2289346,2015
42,73249,128417,4490608,2015
44,9970,16670,768514,2015
45,52710,99919,3106093,2015
46,9358,16940,518713,2015
47,62130,118230,3220955,2015
48,224302,446245,14003750,2015
49,24263,49892,1325354,2015
50,6813,10396,410220,2015
51,90039,166760,5391196,2015
53,78809,143550,4731451,2015
54,12771,23705,535482,2015
55,31000,54911,1626394,2015
56,9585,18277,774037,2015
1,44067,92183,2349190,2016
2,15019,30063,780577,2016
4,106659,205034,6870173,2016
5,29427,61281,1498746,2016
6,260471,453736,19792771,2016
8,109474,194813,7098303,2016
9,36244,64381,3358996,2016
10,16443,29988,1141978,2016
11,29627,39830,2132434,2016
12,313343,583691,29545305,2016
13,132111,267247,7470819,2016
15,26447,52005,1721929,2016
16,28594,60358,1746731,2016
17,96201,169018,6540992,2016
18,57008,111854,3016786,2016
19,29537,57748,1587058,2016
20,36251,73832,2064386,2016
21,41887,82814,2183927,2016
22,38252,75348,2067671,2016
23,15319,26552,978372,2016
24,79113,145156,5049527,2016
25,66581,105995,5425339,2016
26,62369,118993,3922953,2016
27,48009,87019,2919539,2016
28,27140,55933,1233726,2016
29,61716,117954,3376089,2016
30,17199,32025,1030754,2016
31,20570,40732,1081639,2016
32,61034,115386,3710294,2016
33,22980,39281,1743579,2016
34,82629,149744,7479871,2016
35,27644,54267,1514452,2016
36,146432,229862,11271764,2016
37,140377,275974,8917920,2016
38,14730,27469,733174,2016
39,81036,152942,4785582,2016
40,38105,79412,1972977,2016
41,69021,121561,4124413,2016
42,98675,177230,6530380,2016
44,13744,23300,886142,2016
45,75432,148885,5292113,2016
46,12503,23940,683609,2016
47,86103,168704,5331925,2016
48,254576,527254,17725256,2016
49,35303,78498,2356639,2016
50,9505,15007,579620,2016
51,122390,236585,8176151,2016
53,114992,216550,7815170,2016
54,16272,31028,805475,2016
55,45810,83763,2802920,2016
56,11283,21957,831195,2016
1,59325,125513,3547783,2017
2,17878,36790,931766,2017
4,147846,284642,10294836,2017
5,39714,82520,2140953,2017
6,327447,571204,24450725,2017
8,148470,268043,10268699,2017
9,50378,90481,4663269,2017
10,23472,43270,1673187,2017
11,35591,48061,2795658,2017
12,395021,747566,33190827,2017
13,171389,347944,10404342,2017
15,32888,67282,2077177,2017
16,42113,91749,2716573,2017
17,124277,219906,8680116,2017
18,80413,158862,4565997,2017
19,39937,78071,2169394,2017
20,47834,97546,2799434,2017
21,56808,114897,3281108,2017
22,44109,88137,2426609,2017
23,22792,39777,1589981,2017
24,105928,195055,7118060,2017
25,88611,142093,7193129,2017
26,88454,168282,5768937,2017
27,68025,125733,4490561,2017
28,34597,72134,1742002,2017
29,84856,164445,5133068,2017
30,23785,45157,1533587,2017
31,26771,53592,1467541,2017
32,83535,157935,5349057,2017
33,32388,55998,2610046,2017
34,114088,206049,9803076,2017
35,35993,70547,2142066,2017
36,183555,290540,13659743,2017
37,192814,384645,13143880,2017
38,16715,32075,798385,2017
39,112925,217391,6922901,2017
40,47297,100482,2524428,2017
41,89910,158586,5727099,2017
42,138676,252005,9618590,2017
44,18868,31974,1282488,2017
45,105900,212503,7677723,2017
46,16501,31692,978262,2017
47,119591,238655,7456725,2017
48,320457,670379,22275562,2017
49,46789,105853,3198215,2017
50,13011,21493,842684,2017
51,165657,325274,11576511,2017
53,155879,294189,11104415,2017
54,21438,41539,1093754,2017
55,65508,121555,4119324,2017
56,13075,26032,974843,2017
1,47578,97703,2754842,2018
2,13916,26983,742553,2018
4,120488,225293,8857079,2018
5,30908,62258,1613152,2018
6,261617,441167,19745147,2018
8,115696,200950,8564886,2018
9,40858,71387,4357915,2018
10,18728,34273,1362933,2018
11,29551,39783,2295423,2018
12,313390,577098,32133238,2018
13,136159,267673,8165712,2018
15,26404,51895,1697411,2018
16,33561,69676,2289852,2018
17,100792,172137,6682811,2018
18,64308,124017,3572668,2018
19,30616,57912,1624649,2018
20,37693,74131,2090868,2018
21,44226,85581,2329996,2018
22,35783,69460,1948619,2018
23,17735,29831,1257908,2018
24,84387,149236,5494855,2018
25,71861,111355,6082734,2018
26,66918,122805,4461490,2018
27,51134,91075,3251139,2018
28,27667,56366,1364944,2018
29,65966,122763,3815690,2018
30,17858,32445,1144042,2018
31,20276,39433,1123560,2018
32,69943,129151,5215317,2018
33,25407,42287,2044313,2018
34,95587,168001,8309170,2018
35,29520,56410,1707190,2018
36,157357,243091,12613445,2018
37,149624,285585,10248402,2018
38,13593,25205,672602,2018
39,87444,161695,5339938,2018
40,38978,80719,2080310,2018
41,68101,115579,4361538,2018
42,110730,195868,7495508,2018
44,15438,25557,1067917,2018
45,82094,159978,6030895,2018
46,12791,24048,777297,2018
47,95122,182055,6069566,2018
48,257704,517226,18321533,2018
49,37647,79818,2676999,2018
50,9882,15698,638967,2018
51,129824,244815,9128761,2018
53,120440,214899,8814880,2018
54,17499,32932,875268,2018
55,50191,89938,3135446,2018
56,11251,21442,775445,2018
1,46548,94055,2851457,2019
2,13780,26353,786200,2019
4,120611,221212,9375905,2019
5,29926,60119,1662067,2019
6,253419,417809,21125304,2019
8,112036,189676,8807949,2019
9,39884,68525,3818125,2019
10,18506,33244,1379060,2019
11,28978,38721,2361819,2019
12,310823,565034,33939473,2019
13,132161,256127,8210832,2019
15,25273,48737,1662184,2019
16,33752,68353,2544444,2019
17,98335,165244,6983594,2019
18,61610,116550,3621382,2019
19,29009,53682,1643145,2019
20,36049,69430,2201551,2019
21,42488,81439,2328958,2019
22,34219,65758,2025789,2019
23,17163,28644,1267948,2019
24,81170,141867,5631177,2019
25,70985,108210,6287624,2019
26,62767,113621,4323267,2019
27,48392,83132,3162513,2019
28,26385,53180,1372759,2019
29,64328,118737,3891500,2019
30,18130,32972,1329646,2019
31,19617,37503,1099868,2019
32,68517,123131,5235000,2019
33,24668,40410,2022704,2019
34,95457,165661,8397373,2019
35,29584,55454,1865474,2019
36,155617,235541,13262323,2019
37,144413,272467,10252317,2019
38,13365,24676,702102,2019
39,83425,151702,5257476,2019
40,38926,78454,2137360,2019
41,65833,109744,4644466,2019
42,107858,187186,7831061,2019
44,15131,24803,1097961,2019
45,80443,154022,6169028,2019
46,12852,23505,865063,2019
47,93720,177062,6407229,2019
48,261578,517103,19574924,2019
49,37802,76721,2882861,2019
50,9610,14994,665660,2019
51,126506,235580,9266741,2019
53,117741,207255,9142739,2019
54,16833,30778,891498,2019
55,48205,84638,3280985,2019
56,11490,21908,969506,2019
1,52265,107231,3341679,2020
2,14339,28523,856856,2020
4,134047,250088,11525589,2020
5,34274,70245,2044056,2020
6,253707,423662,20911731,2020
8,119237,205768,10063169,2020
9,48247,83893,5724414,2020
10,20927,38057,1844013,2020
11,28237,38423,2326600,2020
12,342653,635103,41403563,2020
13,140873,277629,9572367,2020
15,26183,52357,1960322,2020
16,40529,87679,3423505,2020
17,101592,173265,7628117,2020
18,66953,128860,4128331,2020
19,32261,60479,1885572,2020
20,39080,77474,2443007,2020
21,46985,92284,2732981,2020
22,36588,70802,2129448,2020
23,20738,35363,1820727,2020
24,85860,151734,6483822,2020
25,73879,112980,6964488,2020
26,69833,129110,5184301,2020
27,49404,86728,3537552,2020
28,29285,59822,1581953,2020
29,71531,136303,4504029,2020
30,21503,40835,1926270,2020
31,21135,40856,1235508,2020
32,72172,132042,6159866,2020
33,28413,48010,2724886,2020
34,106413,186466,10470534,2020
35,32057,60694,2336755,2020
36,149292,231439,12406454,2020
37,160058,306509,12216898,2020
38,13442,25479,729969,2020
39,89520,165521,5916226,2020
40,44459,92970,2437720,2020
41,69595,116793,4999612,2020
42,119327,208870,8927000,2020
44,17421,28718,1557751,2020
45,89831,176225,7678710,2020
46,14544,27919,1028694,2020
47,104102,202867,7800496,2020
48,285654,573269,23070105,2020
49,43455,95012,3815704,2020
50,11883,19509,1139630,2020
51,134183,254345,10524599,2020
53,121241,214193,10292167,2020
54,19624,36800,1077000,2020
55,53360,94959,3843449,2020
56,12991,25813,1728591,2020
1,54852,107418,3629049,2021
2,14852,28185,895915,2021
4,135629,240595,12161508,2021
5,37281,72775,2230975,2021
6,245685,394176,21253432,2021
8,120659,197690,10976227,2021
9,51161,86413,6907405,2021
10,22149,38963,1968414,2021
11,27732,36356,2643779,2021
12,392771,709120,58175465,2021
13,150482,282626,10423463,2021
15,25761,49217,2218040,2021
16,42291,86079,3812348,2021
17,103011,167395,7611784,2021
18,69789,127791,4300273,2021
19,35982,61754,1919949,2021
20,40110,75145,2620270,2021
21,48969,90972,2827235,2021
22,35728,65406,2057085,2021
23,22276,36735,2073930,2021
24,83973,142471,6852224,2021
25,73812,110117,7284191,2021
26,71929,125547,5450853,2021
27,49319,82824,3460310,2021
28,30521,58501,1665201,2021
29,73320,133480,4650977,2021
30,23846,43018,2154087,2021
31,21511,39336,1327535,2021
32,73819,128141,8852159,2021
33,28960,47300,3387643,2021
34,110124,184738,11228345,2021
35,31392,55627,2091137,2021
36,152122,226901,13663740,2021
37,168884,310915,13323767,2021
38,12920,23110,698488,2021
39,92429,161361,5974605,2021
40,48388,95461,2704927,2021
41,67850,109053,5029643,2021
42,121512,204574,9599445,2021
44,17554,27746,1581710,2021
45,98164,186217,8563782,2021
46,16178,29697,1233797,2021
47,115085,216262,9487784,2021
48,314634,605888,27808737,2021
49,46156,91471,4374814,2021
50,12212,19462,1127384,2021
51,135642,244672,11083778,2021
53,122946,207562,11334033,2021
54,20722,37242,1166115,2021
55,54459,92137,4091933,2021
56,13617,25154,1375248,2021
1,56212,108674,4021978,2022
2,14745,27607,973284,2022
4,131212,226615,12760040,2022
5,37910,72789,2489086,2022
6,259058,405166,28736150,2022
8,126097,200376,12421781,2022
9,49306,82597,6846872,2022
10,22356,38766,2133338,2022
11,30776,39130,3113953,2022
12,402830,712310,62697169,2022
13,155523,284718,11623089,2022
15,26395,49595,2642960,2022
16,38927,76814,3780574,2022
17,111479,176953,9583962,2022
18,69545,125380,4836421,2022
19,32991,57841,2098743,2022
20,39933,73639,2717282,2022
21,49395,90639,3237357,2022
22,36175,66002,2374538,2022
23,21557,34893,2135969,2022
24,83502,139260,7396693,2022
25,78146,113586,9331863,2022
26,70955,122955,6152855,2022
27,51183,84507,3928013,2022
28,30853,58583,1891628,2022
29,73796,132355,5390193,2022
30,23032,40381,2360584,2022
31,22199,39689,1452655,2022
32,73133,123762,8552930,2022
33,28108,44796,3351029,2022
34,109794,180916,12351271,2022
35,31829,55969,2381268,2022
36,178701,255377,22164959,2022
37,175595,316626,15245340,2022
38,13391,23467,755925,2022
39,94292,162932,7334993,2022
40,48344,94664,3016285,2022
41,68763,108226,5823053,2022
42,123288,204737,10606178,2022
44,17719,27632,1677374,2022
45,102151,190737,9816931,2022
46,16959,30577,1483965,2022
47,119731,219125,11235900,2022
48,332148,624552,31930064,2022
49,45475,84443,4753577,2022
50,11733,18583,1170133,2022
51,137549,243981,12018533,2022
53,127432,207697,13081890,2022
54,20596,36545,1254186,2022
55,55879,93145,4529718,2022
56,13521,24705,2055745,2022
