id,year,fips,out_returns,out_exempt,out_agi,in_returns,in_exempt,in_agi
1,1991,1,56,137,NULL,55,140,NULL
2,1991,2,312,663,NULL,300,670,NULL
3,1991,4,628,1447,NULL,873,2116,NULL
4,1991,5,70,167,NULL,78,184,NULL
5,1991,6,1935,3946,NULL,4642,10961,NULL
6,1991,8,460,1054,NULL,608,1364,NULL
7,1991,9,72,145,NULL,79,170,NULL
8,1991,10,10,17,NULL,9,27,NULL
9,1991,11,12,23,NULL,12,21,NULL
10,1991,12,252,525,NULL,465,952,NULL
11,1991,13,96,206,NULL,121,269,NULL
12,1991,15,139,257,NULL,129,278,NULL
13,1991,17,150,300,NULL,271,631,NULL
14,1991,18,78,203,NULL,101,237,NULL
15,1991,19,83,159,NULL,129,283,NULL
16,1991,20,115,269,NULL,135,317,NULL
17,1991,21,49,108,NULL,68,155,NULL
18,1991,22,40,98,NULL,54,128,NULL
19,1991,23,22,64,NULL,36,81,NULL
20,1991,24,69,146,NULL,112,257,NULL
21,1991,25,53,87,NULL,108,176,NULL
22,1991,26,108,237,NULL,189,384,NULL
23,1991,27,115,238,NULL,209,466,NULL
24,1991,28,28,69,NULL,48,123,NULL
25,1991,29,117,263,NULL,158,360,NULL
26,1991,30,604,1307,NULL,889,1918,NULL
27,1991,31,129,324,NULL,149,373,NULL
28,1991,32,666,1440,NULL,937,2024,NULL
29,1991,33,11,18,NULL,75,165,NULL
30,1991,34,37,72,NULL,102,195,NULL
31,1991,35,176,446,NULL,236,556,NULL
32,1991,36,131,236,NULL,193,385,NULL
33,1991,37,100,229,NULL,156,355,NULL
34,1991,38,47,99,NULL,113,270,NULL
35,1991,39,99,205,NULL,144,295,NULL
36,1991,40,99,247,NULL,134,319,NULL
37,1991,41,1559,3446,NULL,1714,3721,NULL
38,1991,42,99,229,NULL,169,351,NULL
39,1991,44,11,17,NULL,14,24,NULL
40,1991,45,64,173,NULL,86,233,NULL
41,1991,46,54,156,NULL,95,227,NULL
42,1991,47,90,205,NULL,93,227,NULL
43,1991,48,564,1447,NULL,725,1868,NULL
44,1991,49,1736,3835,NULL,1427,3817,NULL
45,1991,50,15,24,NULL,33,50,NULL
46,1991,51,204,474,NULL,243,581,NULL
47,1991,53,3394,6827,NULL,3320,7136,NULL
48,1991,54,16,44,NULL,21,56,NULL
49,1991,55,99,219,NULL,138,266,NULL
50,1991,56,293,648,NULL,409,957,NULL
51,1991,57,704,1468,NULL,664,1460,NULL
52,1992,1,66,149,NULL,60,136,NULL
53,1992,2,347,749,NULL,385,810,NULL
54,1992,4,658,1475,NULL,737,1777,NULL
55,1992,5,65,160,NULL,57,138,NULL
56,1992,6,1798,3755,NULL,4918,11451,NULL
57,1992,8,548,1230,NULL,575,1275,NULL
58,1992,9,52,98,NULL,88,167,NULL
59,1992,10,10,26,NULL,15,30,NULL
60,1992,11,19,28,NULL,18,28,NULL
61,1992,12,283,674,NULL,492,1022,NULL
62,1992,13,101,230,NULL,143,311,NULL
63,1992,15,135,286,NULL,145,316,NULL
64,1992,17,151,333,NULL,258,515,NULL
65,1992,18,68,144,NULL,112,246,NULL
66,1992,19,87,215,NULL,102,212,NULL
67,1992,20,115,240,NULL,115,267,NULL
68,1992,21,64,148,NULL,56,133,NULL
69,1992,22,60,119,NULL,84,190,NULL
70,1992,23,33,82,NULL,42,100,NULL
71,1992,24,44,104,NULL,116,229,NULL
72,1992,25,57,105,NULL,93,177,NULL
73,1992,26,103,224,NULL,182,392,NULL
74,1992,27,133,258,NULL,172,309,NULL
75,1992,28,46,114,NULL,34,84,NULL
76,1992,29,145,330,NULL,152,306,NULL
77,1992,30,649,1493,NULL,804,1641,NULL
78,1992,31,95,243,NULL,120,296,NULL
79,1992,32,638,1357,NULL,947,2144,NULL
80,1992,33,18,29,NULL,49,102,NULL
81,1992,34,43,89,NULL,99,191,NULL
82,1992,35,187,464,NULL,199,463,NULL
83,1992,36,126,210,NULL,241,492,NULL
84,1992,37,120,266,NULL,158,367,NULL
85,1992,38,49,103,NULL,105,217,NULL
86,1992,39,115,251,NULL,202,427,NULL
87,1992,40,105,263,NULL,118,259,NULL
88,1992,41,1526,3159,NULL,1916,4199,NULL
89,1992,42,104,234,NULL,185,394,NULL
90,1992,44,6,9,NULL,18,34,NULL
91,1992,45,66,149,NULL,87,229,NULL
92,1992,46,101,263,NULL,86,172,NULL
93,1992,47,97,216,NULL,81,183,NULL
94,1992,48,565,1506,NULL,703,1819,NULL
95,1992,49,1658,3534,NULL,1495,3963,NULL
96,1992,50,11,18,NULL,20,35,NULL
97,1992,51,212,458,NULL,240,593,NULL
98,1992,53,3459,6874,NULL,3485,7425,NULL
99,1992,54,21,42,NULL,22,47,NULL
100,1992,55,96,215,NULL,150,298,NULL
101,1992,56,264,647,NULL,428,966,NULL
102,1992,57,565,1070,NULL,885,1918,NULL
103,1993,1,63,154,1794,75,199,2111
104,1993,2,283,594,6898,425,1012,13410
105,1993,4,656,1493,12939,806,1873,17471
106,1993,5,83,186,1460,83,202,1934
107,1993,6,1558,3341,30988,6032,14469,183116
108,1993,8,516,1069,14028,697,1561,20298
109,1993,9,52,97,1216,78,152,2276
110,1993,10,8,25,148,17,32,532
111,1993,11,16,23,241,17,29,573
112,1993,12,272,625,6020,610,1251,13801
113,1993,13,128,284,2781,149,313,3756
114,1993,15,135,244,3413,164,364,4609
115,1993,17,173,387,4143,242,534,7339
116,1993,18,80,176,1707,120,265,3047
117,1993,19,86,217,3705,115,240,3002
118,1993,20,97,218,2060,166,406,4314
119,1993,21,52,113,1211,78,184,1974
120,1993,22,59,123,2421,125,298,3074
121,1993,23,25,44,536,42,85,967
122,1993,24,67,150,2239,109,237,4031
123,1993,25,55,103,1379,99,200,3056
124,1993,26,103,261,2577,247,588,6818
125,1993,27,147,321,4290,202,380,4972
126,1993,28,38,95,741,63,132,1287
127,1993,29,138,347,3056,155,339,5550
128,1993,30,759,1667,15155,796,1676,16285
129,1993,31,117,256,4700,124,313,3184
130,1993,32,623,1331,14157,920,2077,20351
131,1993,33,23,53,866,36,56,801
132,1993,34,37,82,1340,84,180,2778
133,1993,35,241,586,6627,272,672,7365
134,1993,36,133,267,3295,247,485,6743
135,1993,37,149,333,3202,200,465,4877
136,1993,38,71,161,1321,114,246,2736
137,1993,39,132,291,4128,177,396,5146
138,1993,40,107,254,2061,108,250,2222
139,1993,41,1534,3389,34168,1909,4191,41948
140,1993,42,113,248,3407,190,393,5000
141,1993,44,12,26,505,22,33,369
142,1993,45,66,148,2665,124,291,3321
143,1993,46,72,153,1824,89,204,1865
144,1993,47,101,263,2707,101,228,2529
145,1993,48,589,1489,11891,772,2042,20193
146,1993,49,1745,3926,35863,1493,3917,31785
147,1993,50,15,34,498,21,29,463
148,1993,51,154,324,4474,221,512,6818
149,1993,53,3350,6629,78518,3574,7508,92200
150,1993,54,22,52,541,24,46,1167
151,1993,55,112,257,2776,145,279,4115
152,1993,56,295,684,7383,402,884,9490
153,1993,57,484,872,8955,924,2094,19839
154,1994,1,63,156,1583,78,207,1853
155,1994,2,286,602,7808,386,873,12828
156,1994,4,752,1624,17018,792,1865,17706
157,1994,5,87,216,2098,62,150,1376
158,1994,6,1634,3343,33048,6215,14852,188115
159,1994,8,546,1176,14654,689,1447,20358
160,1994,9,56,105,1454,75,138,2627
161,1994,10,12,23,383,13,19,412
162,1994,11,17,25,589,18,33,615
163,1994,12,313,740,7319,452,947,9805
164,1994,13,119,258,2487,148,351,4269
165,1994,15,136,247,3005,153,329,4773
166,1994,17,185,428,4920,241,530,6725
167,1994,18,77,161,1805,106,228,3322
168,1994,19,90,210,1705,118,256,2500
169,1994,20,102,237,1803,139,327,3958
170,1994,21,67,138,1721,72,145,1585
171,1994,22,54,119,1417,78,176,1919
172,1994,23,21,42,526,52,119,1229
173,1994,24,74,169,2245,110,224,3709
174,1994,25,67,129,1379,103,183,3184
175,1994,26,111,253,2538,175,350,4832
176,1994,27,136,320,3552,223,498,7062
177,1994,28,52,128,1046,53,115,904
178,1994,29,167,362,5377,133,265,3330
179,1994,30,653,1488,13575,852,1830,18863
180,1994,31,114,293,2749,135,317,3989
181,1994,32,678,1547,20964,909,2046,23616
182,1994,33,18,51,655,45,89,1523
183,1994,34,39,74,1190,80,172,2638
184,1994,35,300,782,7846,226,563,7309
185,1994,36,145,245,3254,210,426,5937
186,1994,37,151,299,2627,186,407,4571
187,1994,38,60,131,1332,88,168,2076
188,1994,39,136,321,4046,186,374,5385
189,1994,40,143,318,2362,138,357,3028
190,1994,41,1601,3477,33082,1981,4312,42400
191,1994,42,91,218,3825,165,400,6132
192,1994,44,10,16,247,20,35,552
193,1994,45,61,141,1523,79,185,2366
194,1994,46,74,184,1770,84,197,1927
195,1994,47,109,251,2910,76,164,1787
196,1994,48,643,1643,13737,741,1802,20008
197,1994,49,1748,3897,33041,1620,4083,37223
198,1994,50,13,29,246,34,52,713
199,1994,51,208,421,5469,224,522,7306
200,1994,53,3027,5932,68465,3939,8277,102733
201,1994,54,18,50,380,17,41,689
202,1994,55,102,216,2723,150,308,3809
203,1994,56,298,676,7666,360,835,9508
204,1994,57,512,900,9722,663,1372,15033
205,1995,1,64,156,1808,71,156,2352
206,1995,2,287,592,8066,384,836,13414
207,1995,4,768,1661,17570,805,1928,20632
208,1995,5,91,230,2083,69,144,1434
209,1995,6,1773,3589,38267,5165,12168,159806
210,1995,8,592,1225,16509,705,1460,20031
211,1995,9,50,103,2180,82,140,2155
212,1995,10,8,21,754,8,16,340
213,1995,11,20,25,472,17,31,649
214,1995,12,303,645,7032,429,960,11494
215,1995,13,160,363,3836,137,291,4271
216,1995,15,134,271,2625,159,289,4426
217,1995,17,173,397,4341,256,541,8067
218,1995,18,93,203,2321,124,294,3385
219,1995,19,100,264,2514,125,308,3789
220,1995,20,122,271,2603,146,341,3885
221,1995,21,59,135,1367,50,105,1288
222,1995,22,53,113,1062,78,169,2261
223,1995,23,24,62,607,40,117,1249
224,1995,24,85,181,2641,116,264,4171
225,1995,25,82,147,1806,84,143,2582
226,1995,26,131,278,4123,165,339,3979
227,1995,27,157,365,4231,219,447,6206
228,1995,28,47,94,958,57,131,1188
229,1995,29,153,363,3314,165,334,3782
230,1995,30,732,1662,16975,793,1621,16932
231,1995,31,124,293,3036,134,308,3703
232,1995,32,800,1793,23427,913,1992,24648
233,1995,33,22,38,684,31,62,866
234,1995,34,49,101,1287,87,169,3008
235,1995,35,207,496,6222,213,490,5170
236,1995,36,135,228,2924,249,463,9260
237,1995,37,140,349,2863,149,328,4140
238,1995,38,64,139,1048,102,218,2597
239,1995,39,167,397,5508,179,382,4934
240,1995,40,125,299,2472,126,276,2891
241,1995,41,1815,3792,41950,2068,4461,47272
242,1995,42,125,296,4856,175,357,4894
243,1995,44,10,26,358,19,25,406
244,1995,45,103,238,2879,70,151,1795
245,1995,46,77,182,2257,93,212,2338
246,1995,47,104,235,3311,86,207,2817
247,1995,48,631,1533,15213,740,1838,21945
248,1995,49,1893,4084,37687,1699,4354,41073
249,1995,50,18,33,354,31,49,829
250,1995,51,191,448,5515,286,668,11725
251,1995,53,3254,6397,79958,4099,8665,107071
252,1995,54,25,49,927,23,48,773
253,1995,55,117,266,3124,136,274,3615
254,1995,56,340,765,9139,429,949,11070
255,1995,57,525,990,11700,696,1434,16279
256,1996,1,58,144,1527,61,130,2230
257,1996,2,305,662,8093,371,791,13111
258,1996,4,818,1782,21200,784,1776,21715
259,1996,5,89,222,2197,88,185,2046
260,1996,6,1845,3713,47621,4009,9174,129661
261,1996,8,608,1278,18434,665,1413,22271
262,1996,9,53,113,2132,63,118,2864
263,1996,10,5,11,183,22,37,1835
264,1996,11,16,18,345,12,19,496
265,1996,12,287,641,7555,340,770,9575
266,1996,13,132,300,3046,145,314,4425
267,1996,15,95,182,2383,145,311,4714
268,1996,17,225,498,7807,213,419,9443
269,1996,18,103,230,3103,112,225,2781
270,1996,19,107,292,2574,146,305,4209
271,1996,20,121,263,2778,133,313,3841
272,1996,21,73,189,1887,49,110,1309
273,1996,22,46,92,1256,73,164,2276
274,1996,23,25,48,523,40,62,999
275,1996,24,65,123,1966,99,228,4632
276,1996,25,76,133,2315,83,146,2828
277,1996,26,166,383,4526,197,420,5147
278,1996,27,200,463,6323,203,413,6315
279,1996,28,52,124,1096,56,119,1844
280,1996,29,173,371,3403,163,379,5002
281,1996,30,806,1675,21126,913,1924,22482
282,1996,31,130,345,3840,133,298,3899
283,1996,32,848,1844,21689,849,1854,25156
284,1996,33,28,61,1113,37,79,886
285,1996,34,51,92,1249,88,191,3534
286,1996,35,220,507,5495,246,564,6271
287,1996,36,131,236,3491,248,515,10571
288,1996,37,160,350,4020,167,346,4093
289,1996,38,56,118,1268,107,215,2427
290,1996,39,151,357,4211,165,327,5585
291,1996,40,142,329,2842,121,288,4012
292,1996,41,1953,4105,50589,1929,4230,53980
293,1996,42,137,299,4373,174,342,5678
294,1996,44,7,18,502,18,34,588
295,1996,45,66,148,1576,77,184,2980
296,1996,46,76,142,1793,114,250,3114
297,1996,47,130,341,4002,97,221,3598
298,1996,48,658,1636,17363,728,1704,20367
299,1996,49,2005,4500,49459,1859,4734,47229
300,1996,50,19,32,395,39,70,1658
301,1996,51,193,431,5067,236,617,10035
302,1996,53,3351,6793,85089,3897,8090,114534
303,1996,54,28,81,1205,24,36,586
304,1996,55,129,315,3795,146,290,4049
305,1996,56,336,732,8274,431,989,11595
306,1996,57,443,932,9683,602,1180,11679
307,1997,1,57,135,1620,59,134,1587
308,1997,2,289,599,7890,412,882,13720
309,1997,4,803,1719,20431,788,1719,22569
310,1997,5,90,242,2212,91,218,2732
311,1997,6,2070,4101,78428,3484,7548,119834
312,1997,8,668,1367,20970,656,1408,21536
313,1997,9,44,71,2318,48,80,1522
314,1997,10,10,16,264,14,31,500
315,1997,11,19,21,343,16,20,527
316,1997,12,319,628,8971,354,780,10470
317,1997,13,130,325,3466,146,308,4789
318,1997,15,104,194,2375,117,262,4162
319,1997,17,194,395,6167,242,485,8327
320,1997,18,105,256,2928,115,244,3353
321,1997,19,82,192,2079,120,289,3848
322,1997,20,147,350,4542,149,339,24254
323,1997,21,84,181,2284,79,168,2195
324,1997,22,63,152,3026,63,139,1899
325,1997,23,45,80,1398,39,89,1285
326,1997,24,80,155,2893,109,252,3560
327,1997,25,77,142,2127,79,132,2571
328,1997,26,142,283,3747,173,348,7061
329,1997,27,184,369,6408,209,400,7745
330,1997,28,42,96,1099,68,143,1407
331,1997,29,196,468,5812,155,317,3862
332,1997,30,713,1478,17065,957,1939,23253
333,1997,31,107,241,2274,161,385,4873
334,1997,32,886,1845,23980,863,1888,24604
335,1997,33,40,80,976,35,63,1457
336,1997,34,50,77,1640,95,172,4377
337,1997,35,195,429,4888,257,645,7755
338,1997,36,160,276,3482,191,325,11625
339,1997,37,179,406,10061,195,423,5586
340,1997,38,71,143,1436,119,242,2770
341,1997,39,160,316,4598,180,367,6738
342,1997,40,149,326,2983,174,400,4401
343,1997,41,2001,4127,53094,2120,4617,61545
344,1997,42,118,242,3217,171,323,5723
345,1997,44,7,11,155,10,20,302
346,1997,45,72,185,2263,116,274,3537
347,1997,46,71,143,1436,287,769,8261
348,1997,47,103,237,3285,112,255,3540
349,1997,48,730,1749,24741,786,1889,23170
350,1997,49,2179,4698,54113,1863,4660,52217
351,1997,50,27,43,577,28,50,471
352,1997,51,177,382,5852,202,394,6810
353,1997,53,3533,6834,101723,3613,7480,101846
354,1997,54,18,38,416,33,57,718
355,1997,55,146,332,4578,167,330,5580
356,1997,56,294,613,8007,405,932,10800
357,1997,57,460,923,10044,792,1521,12921
358,1998,1,62,132,1801,75,190,2440
359,1998,2,288,603,8046,325,689,11825
360,1998,4,862,1828,30729,798,1711,25454
361,1998,5,88,228,2370,82,184,2590
362,1998,6,2236,4495,59601,3251,6898,132743
363,1998,8,690,1450,20610,694,1454,26027
364,1998,9,45,80,1948,53,102,2732
365,1998,10,10,20,250,12,20,440
366,1998,11,13,17,278,18,26,508
367,1998,12,297,634,11325,351,701,10848
368,1998,13,158,341,4209,127,276,3815
369,1998,15,101,196,2138,125,276,3224
370,1998,17,209,460,5863,246,499,25664
371,1998,18,98,210,2660,113,249,3760
372,1998,19,101,264,2503,130,268,3668
373,1998,20,142,337,4112,150,351,5388
374,1998,21,81,175,2008,76,162,1727
375,1998,22,61,129,1904,78,171,2780
376,1998,23,34,75,991,24,48,754
377,1998,24,73,139,1906,101,236,4427
378,1998,25,85,134,2508,81,138,2785
379,1998,26,131,280,4280,177,356,6986
380,1998,27,163,352,4236,209,397,7820
381,1998,28,42,80,870,60,122,2194
382,1998,29,283,697,10321,194,416,5816
383,1998,30,724,1490,17899,997,2066,24708
384,1998,31,123,307,3505,140,350,5123
385,1998,32,814,1648,23905,867,1894,26160
386,1998,33,38,67,1122,36,60,1090
387,1998,34,64,120,1766,72,133,2346
388,1998,35,189,409,5662,274,624,11203
389,1998,36,160,291,5313,185,332,6212
390,1998,37,198,383,5553,148,353,4320
391,1998,38,68,154,1562,109,226,3033
392,1998,39,153,319,5110,181,402,7227
393,1998,40,149,336,3713,126,294,3656
394,1998,41,2034,4118,53861,2123,4476,62449
395,1998,42,118,220,3939,177,360,10105
396,1998,44,9,17,198,12,22,542
397,1998,45,56,134,1511,67,157,2718
398,1998,46,84,195,2376,118,294,3301
399,1998,47,110,247,3260,115,243,3695
400,1998,48,785,1874,25614,745,1711,23595
401,1998,49,2174,4717,54418,1993,5112,57867
402,1998,50,18,34,553,30,45,785
403,1998,51,234,529,8702,180,383,6787
404,1998,53,3669,7229,106409,3818,7823,122568
405,1998,54,22,53,565,35,73,851
406,1998,55,129,303,4436,165,317,4985
407,1998,56,330,717,9379,414,858,12699
408,1998,57,455,981,10079,558,1117,14533
409,1999,1,57,121,1843,75,178,2246
410,1999,2,357,764,11828,326,719,11505
411,1999,4,860,1702,24833,776,1647,28387
412,1999,5,66,174,2387,70,154,2319
413,1999,6,2208,4287,69053,3077,6514,132386
414,1999,8,741,1652,26590,686,1427,33811
415,1999,9,49,97,2474,50,102,2476
416,1999,10,9,20,181,10,17,299
417,1999,11,20,24,687,14,16,424
418,1999,12,357,755,13232,353,676,11295
419,1999,13,172,386,4944,151,351,6868
420,1999,15,80,146,2110,95,213,2980
421,1999,17,191,441,7269,242,544,11887
422,1999,18,116,243,3373,124,268,3581
423,1999,19,144,336,3784,125,246,3266
424,1999,20,136,306,3878,154,364,4561
425,1999,21,75,163,1573,67,155,3356
426,1999,22,65,131,1613,66,158,2465
427,1999,23,27,54,722,32,58,1153
428,1999,24,92,171,3060,89,203,3661
429,1999,25,84,145,2693,90,167,4374
430,1999,26,148,332,4468,155,280,5107
431,1999,27,163,320,5620,222,420,9254
432,1999,28,47,105,1289,58,125,1517
433,1999,29,195,465,6392,192,425,6479
434,1999,30,778,1603,21183,921,1873,22234
435,1999,31,118,267,3410,158,359,5899
436,1999,32,742,1480,24987,885,1918,31138
437,1999,33,29,51,1067,34,63,1052
438,1999,34,56,89,6610,80,137,3136
439,1999,35,190,397,6371,234,576,8257
440,1999,36,155,244,4478,172,303,13150
441,1999,37,171,345,5393,180,408,5231
442,1999,38,69,148,1564,121,235,3695
443,1999,39,178,387,6201,187,347,6706
444,1999,40,127,309,2906,126,279,3721
445,1999,41,2041,4219,56162,2136,4459,62039
446,1999,42,128,259,4547,156,293,6390
447,1999,44,18,25,685,12,26,476
448,1999,45,83,189,2666,78,158,2988
449,1999,46,91,227,2518,110,237,3409
450,1999,47,136,305,4795,121,271,4840
451,1999,48,776,1737,22158,792,1815,41733
452,1999,49,2160,4505,52176,2014,4949,69039
453,1999,50,46,83,1414,30,60,1693
454,1999,51,190,392,7156,186,372,6250
455,1999,53,3503,6749,107098,4020,8265,140935
456,1999,54,40,75,1384,27,69,808
457,1999,55,140,305,4662,166,303,5926
458,1999,56,324,729,11230,420,878,12920
459,1999,57,431,833,10775,591,1151,10929
460,2000,1,63,155,1993,67,186,3076
461,2000,2,303,592,8708,368,815,14838
462,2000,4,970,1943,33236,828,1816,28545
463,2000,5,78,180,2228,67,159,1888
464,2000,6,2246,4370,74556,3174,6648,137097
465,2000,8,672,1331,22641,738,1592,29780
466,2000,9,73,143,2896,41,72,1702
467,2000,10,10,25,343,12,39,1266
468,2000,11,29,38,813,12,24,759
469,2000,12,393,794,13141,359,748,12931
470,2000,13,173,369,5611,177,407,7109
471,2000,15,118,230,3361,82,178,2603
472,2000,17,175,359,7116,261,567,12444
473,2000,18,123,269,3532,120,271,4775
474,2000,19,115,264,3587,141,301,4956
475,2000,20,134,342,4213,151,366,4768
476,2000,21,77,176,2657,70,157,2550
477,2000,22,59,116,1643,64,140,2072
478,2000,23,32,63,1124,30,75,1829
479,2000,24,86,192,3541,110,219,6279
480,2000,25,103,175,3554,88,141,4735
481,2000,26,163,351,5578,180,333,9184
482,2000,27,222,478,10047,213,402,8113
483,2000,28,51,101,1949,54,113,1453
484,2000,29,173,386,4361,180,406,6994
485,2000,30,753,1491,19508,948,1960,39345
486,2000,31,166,400,5941,137,330,4821
487,2000,32,820,1629,26726,922,1901,32000
488,2000,33,39,76,1493,38,66,1509
489,2000,34,58,101,2275,85,154,3724
490,2000,35,224,478,7319,227,479,8798
491,2000,36,156,257,4923,179,320,6179
492,2000,37,192,396,6265,212,407,8027
493,2000,38,61,133,1423,108,225,3410
494,2000,39,158,351,6893,197,357,12541
495,2000,40,114,224,2366,152,342,4920
496,2000,41,1936,3986,53587,2118,4365,61889
497,2000,42,175,374,7291,178,374,7969
498,2000,44,10,16,381,20,33,536
499,2000,45,91,191,3229,81,184,3423
500,2000,46,92,190,3600,88,173,2747
501,2000,47,124,266,4022,148,304,6466
502,2000,48,758,1804,29607,772,1747,33362
503,2000,49,2173,4571,56764,2222,5606,82541
504,2000,50,28,73,1160,32,62,2232
505,2000,51,249,573,10024,204,450,10496
506,2000,53,3629,7117,128881,3902,8161,161322
507,2000,54,38,82,1621,30,57,880
508,2000,55,116,244,3816,142,272,5586
509,2000,56,346,731,12098,485,1009,15392
510,2000,57,505,1044,13441,692,1265,14188
511,2001,1,72,181,3910,84,191,3909
512,2001,2,346,672,11400,334,693,13983
513,2001,4,979,1993,33315,869,1908,33199
514,2001,5,90,244,3004,98,252,2629
515,2001,6,2392,4515,103265,3231,6839,169192
516,2001,8,788,1606,31398,832,1755,39017
517,2001,9,39,74,1331,63,115,4144
518,2001,10,11,27,345,12,14,264
519,2001,11,21,29,1079,21,27,1217
520,2001,12,367,773,14504,350,697,13185
521,2001,13,185,400,5721,169,347,6406
522,2001,15,138,248,3556,112,202,3140
523,2001,17,206,414,8679,227,470,10560
524,2001,18,117,245,4060,122,247,4343
525,2001,19,112,264,3171,125,285,4398
526,2001,20,126,308,3972,156,369,5604
527,2001,21,81,164,2339,84,172,3102
528,2001,22,59,130,1838,98,219,4016
529,2001,23,23,48,781,37,64,921
530,2001,24,102,192,4392,69,123,3232
531,2001,25,75,145,3988,80,133,11694
532,2001,26,155,314,6183,186,391,7802
533,2001,27,205,418,8821,205,434,9139
534,2001,28,53,102,1593,68,145,2179
535,2001,29,198,433,6515,233,520,8533
536,2001,30,778,1655,25264,1052,2087,31500
537,2001,31,112,235,3482,160,346,4973
538,2001,32,794,1565,43670,910,1958,32090
539,2001,33,34,75,1313,49,89,1435
540,2001,34,71,123,3063,66,128,3031
