The Pew Charitable Trusts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,0.006275,0.005872,0.002517,0.00247,0.002815,0.002671,0.002687,0.002629,0.003283,0.00239,0.002365,0.001803,0.002594,0.001098,0.003074,0.003,,0.006275,0.005872,0.002517,0.00247,0.002815,0.002671,0.002687,0.002629,0.003283,0.00239,0.002365,0.001803,0.002594,0.001098,0.003074,0.003,,0.004456,0.004155,0.003383,0.003301,0.002919,0.003092,0.002503,0.002572,0.002032,0.001706,0.001916,0.00113,-0.00106,-0.00112,-0.000009,0.00207,,0.001819,0.001741,-0.00089,-0.000831,-0.000104,-0.000421,0.000184,0.000057,0.001251,0.000684,0.000449,0.000674,0.003658,0.002213,0.003083,0.000928092
Montana,,0.00775,0.006858,0.006852,0.006667,0.009949,0.00838,0.008642,0.010317,0.011251,0.007549,0.007821,0.009769,0.017618,0.014925,0.008847,0.009954,,0.00775,0.006858,0.006852,0.006667,0.009949,0.00838,0.008642,0.010317,0.011251,0.007549,0.007821,0.009769,0.017618,0.014925,0.008847,0.009954,,0.004164,0.004047,0.0029,0.003061,0.002744,0.002964,0.002838,0.002498,0.001783,0.001673,0.001302,0.000521,-0.001205,-0.001516,-0.000152,0.001861,,0.003586,0.002982,0.00378,0.003606,0.007205,0.005416,0.005804,0.007819,0.009468,0.005876,0.00652,0.009248,0.018823,0.01644,0.008999,0.007888808
Nebraska,,0.009077,0.009328,0.006189,0.006941,0.006539,0.00758,0.006438,0.007623,0.005515,0.004441,0.003666,0.002577,0.000499,0.001938,0.005243,0.006454,,0.009077,0.009328,0.006189,0.006941,0.006539,0.00758,0.006438,0.007623,0.005515,0.004441,0.003666,0.002577,0.000499,0.001938,0.005243,0.006454,,0.007044,0.006934,0.005519,0.005738,0.005308,0.005769,0.005472,0.005501,0.004922,0.004514,0.004933,0.004262,0.002465,0.002393,0.002896,0.004953,,0.002032,0.002855,0.000209,0.001203,0.001232,0.00181,0.000966,0.002123,0.000594,-0.000073,-0.001267,-0.001685,-0.001966,-0.000455,0.002347,0.000667849
Nevada,,0.011695,0.006637,0.003934,0.011631,0.011763,0.015117,0.017594,0.017788,0.017997,0.019726,0.019812,0.015364,0.009882,0.009785,0.005273,0.012437,,0.011695,0.006637,0.003934,0.011631,0.011763,0.015117,0.017594,0.017788,0.017997,0.019726,0.019812,0.015364,0.009882,0.009785,0.005273,0.012437,,0.007667,0.007337,0.005788,0.005267,0.005041,0.005043,0.00489,0.004558,0.00396,0.003691,0.003405,0.0025,0.000312,0.000034,0.001175,0.00415,,0.004028,0.000104,-0.002655,0.006364,0.006722,0.010074,0.012704,0.013229,0.014037,0.016035,0.016407,0.012862,0.009571,0.009751,0.004098,0.009247058
New Hampshire,,0.000149,0.000536,0.002762,0.003206,0.001959,0.005263,0.002416,0.004646,0.004987,0.003458,0.00422,0.004036,0.006377,0.008295,0.002181,0.004236,,0.000149,0.000536,0.002762,0.003206,0.001959,0.005263,0.002416,0.004646,0.004987,0.003458,0.00422,0.004036,0.006377,0.008295,0.002181,0.004236,,0.002098,0.002114,0.001707,0.001409,0.001293,0.000799,0.000289,0.000407,-0.000107,-0.000483,-0.000398,-0.000807,-0.001208,-0.001688,-0.001508,0.000243,,-0.001949,-0.001615,0.001091,0.001797,0.000666,0.004464,0.002127,0.004239,0.005094,0.00394,0.004618,0.004843,0.007585,0.009983,0.003688,0.003408878
New Jersey,,0.00511,0.005008,0.003307,0.001939,0.001374,0.001068,0.000342,0.000369,0.001641,0.000403,-0.000053,-0.001,-0.000347,-0.000902,0.003242,0.004305,,0.00511,0.005008,0.003307,0.001939,0.001374,0.001068,0.000342,0.000369,0.001641,0.000403,-0.000053,-0.001,-0.000347,-0.000902,0.003242,0.004305,,0.004976,0.00441,0.004049,0.004023,0.003506,0.003706,0.003446,0.00359,0.00301,0.003048,0.002669,0.002021,0.001513,0.002147,0.002753,0.003249,,0.000134,0.000846,-0.000989,-0.002083,-0.002132,-0.002639,-0.003104,-0.003221,-0.001369,-0.002645,-0.002722,-0.003021,-0.00186,-0.003049,0.000489,-0.001896643
New Mexico,,0.013001,0.013655,0.007795,0.003368,0.002451,-0.001241,-0.000079,0.001188,0.000138,0.000435,0.002808,0.003184,-0.000726,-0.001641,0.000423,0.003359,,0.013001,0.013655,0.007795,0.003368,0.002451,-0.00124,-0.000079,0.001188,0.000138,0.000435,0.002808,0.003184,-0.000726,-0.001641,0.000423,0.003359,,0.007232,0.006598,0.005534,0.00508,0.004762,0.004406,0.004022,0.003387,0.002701,0.002106,0.002022,0.001314,-0.001514,-0.00204,-0.000765,0.003004,,0.005768,0.007704,0.001618,-0.001711,-0.002311,-0.005647,-0.0041,-0.002199,-0.002563,-0.001671,0.000787,0.00187,0.000788,0.000399,0.001188,-0.0000331
New York,,0.004925,0.004811,0.005153,0.003818,0.002663,0.001373,0.000198,-0.001065,-0.002166,-0.002539,-0.004143,-0.006492,-0.012444,-0.009133,-0.005184,0.001234,,0.004925,0.004811,0.005153,0.003818,0.002663,0.001373,0.000198,-0.001065,-0.002166,-0.002539,-0.004143,-0.006492,-0.012444,-0.009133,-0.005184,0.001234,,0.004844,0.004344,0.004813,0.00477,0.004461,0.004492,0.004348,0.004283,0.003875,0.003703,0.003132,0.002198,0.001409,0.001699,0.00211,0.0036,,0.000082,0.00007,0.000738,-0.000953,-0.001798,-0.00312,-0.00415,-0.005348,-0.006041,-0.006242,-0.007275,-0.00869,-0.013853,-0.010831,-0.007295,-0.005306663
North Carolina,,0.015051,0.01323,0.008807,0.009618,0.009732,0.009199,0.010055,0.012412,0.011214,0.01125,0.010588,0.009469,0.010837,0.012195,0.013045,0.010171,,0.015051,0.01323,0.008807,0.009618,0.009732,0.009199,0.010055,0.012412,0.011214,0.01125,0.010588,0.009469,0.010837,0.012195,0.013045,0.010171,,0.00579,0.005458,0.004294,0.004146,0.003591,0.003723,0.003255,0.003171,0.002716,0.002571,0.002305,0.001517,0.000121,0.000351,0.001183,0.003042,,0.009261,0.006393,0.005887,0.005472,0.006142,0.005476,0.0068,0.009241,0.008498,0.008679,0.008284,0.007952,0.010716,0.011844,0.011861,0.008365165
North Dakota,,0.011252,0.014713,0.015967,0.024362,0.029794,0.021554,0.022743,0.000764,0.000848,0.00437,0.004818,0.002075,-0.002028,0.001195,0.006437,0.011787,,0.011252,0.014713,0.015967,0.024362,0.029794,0.021554,0.022743,0.000764,0.000848,0.00437,0.004818,0.002075,-0.002028,0.001195,0.006437,0.011787,,0.005209,0.005182,0.004694,0.005761,0.00577,0.0066,0.006882,0.006966,0.006217,0.005611,0.00569,0.004938,0.00289,0.003148,0.003472,0.005614,,0.006043,0.009151,0.011655,0.018602,0.024024,0.014954,0.015861,-0.006202,-0.00537,-0.001241,-0.000872,-0.002862,-0.004918,-0.001952,0.002966,0.005322079
Ohio,,0.001173,0.000915,0.000545,0.000454,0.002486,0.002321,0.001356,0.001527,0.002203,0.001302,0.001337,-0.000281,-0.002803,-0.00047,0.002231,0.001549,,0.001173,0.000915,0.000545,0.000454,0.002486,0.002321,0.001356,0.001527,0.002203,0.001302,0.001337,-0.000281,-0.002803,-0.00047,0.002231,0.001549,,0.003212,0.002851,0.002367,0.002281,0.002131,0.00239,0.001832,0.001829,0.001248,0.001101,0.001157,0.00054,-0.001571,-0.001724,-0.000209,0.001286,,-0.00204,-0.002219,-0.00154,-0.001828,0.000356,-0.000069,-0.000475,-0.000303,0.000956,0.0002,0.00018,-0.000821,-0.001231,0.001254,0.002441,-0.000340978
Oklahoma,,0.013245,0.011417,0.007662,0.008049,0.009052,0.006564,0.008077,0.004507,0.00139,0.002513,0.004359,0.005077,0.006658,0.006924,0.008597,0.006672,,0.013245,0.011417,0.007662,0.008049,0.009052,0.006564,0.008077,0.004507,0.00139,0.002513,0.004359,0.005077,0.006658,0.006924,0.008597,0.006672,,0.005635,0.005306,0.003934,0.004053,0.003855,0.003755,0.003547,0.003545,0.002751,0.002184,0.00226,0.001406,-0.00084,-0.000889,0.000639,0.002796,,0.00761,0.006565,0.003276,0.003996,0.005197,0.002809,0.00453,0.000962,-0.001361,0.000329,0.002099,0.003671,0.007498,0.007813,0.007958,0.004292359
Oregon,,0.010574,0.007618,0.009135,0.007083,0.006156,0.010534,0.013389,0.018596,0.013198,0.008739,0.007787,0.006022,0.00269,-0.004014,-0.00142,0.00778,,0.010574,0.007618,0.009135,0.007083,0.006156,0.010534,0.013389,0.018596,0.013198,0.008739,0.007787,0.006022,0.00269,-0.004014,-0.00142,0.00778,,0.004404,0.00415,0.003359,0.003092,0.00297,0.002973,0.002592,0.002568,0.001903,0.00159,0.001355,0.000554,-0.000538,-0.001374,-0.001,0.001939,,0.00617,0.00382,0.005423,0.003991,0.003186,0.007561,0.010797,0.016028,0.011295,0.007149,0.006432,0.005469,0.003228,-0.00264,-0.00042,0.005936879
Pennsylvania,,0.004327,0.003517,0.002804,0.001731,0.000816,0.001006,-0.0002,-0.000107,0.000486,0.001128,-0.000798,-0.001221,0.001396,-0.003191,-0.000802,0.001823,,0.004327,0.003517,0.002804,0.001731,0.000816,0.001006,-0.0002,-0.000107,0.000486,0.001128,-0.000798,-0.001221,0.001396,-0.003191,-0.000802,0.001823,,0.001527,0.001258,0.001196,0.0013,0.00085,0.001212,0.000716,0.000814,0.000156,0.000173,0.000065,-0.000746,-0.001956,-0.001803,-0.000854,0.000256,,0.0028,0.00212,0.001749,0.000431,-0.000035,-0.000207,-0.000915,-0.000922,0.000329,0.000954,-0.000863,-0.000476,0.00335,-0.001388,0.000052,0.000467575
Rhode Island,,-0.001286,0.00033,-0.000157,0.00101,0.000632,0.000901,0.000355,0.00088,-0.001193,0.002635,-0.001114,-0.000976,0.000591,-0.002962,0.001938,0.002542,,-0.001286,0.00033,-0.000157,0.00101,0.000632,0.000901,0.000355,0.00088,-0.001193,0.002635,-0.001114,-0.000976,0.000591,-0.002962,0.001938,0.002542,,0.002409,0.002244,0.001181,0.001605,0.001177,0.000975,0.000754,0.001085,0.000505,0.000661,0.000437,-0.000022,-0.001187,-0.000631,-0.000391,0.000711,,-0.003695,-0.002965,-0.000285,-0.000595,-0.000545,-0.000074,-0.000399,-0.000205,-0.001698,0.001974,-0.001551,-0.000954,0.001778,-0.002332,0.002329,-0.000613304
South Carolina,,0.013441,0.010016,0.00794,0.009924,0.010053,0.01267,0.014326,0.01369,0.01291,0.01285,0.012962,0.011699,0.012022,0.017156,0.017149,0.011465,,0.013441,0.010016,0.00794,0.009924,0.010053,0.01267,0.014326,0.01369,0.01291,0.01285,0.012962,0.011699,0.012022,0.017156,0.017149,0.011465,,0.004644,0.003795,0.003332,0.003312,0.002525,0.002681,0.002365,0.002164,0.001611,0.001306,0.001045,0.000156,-0.001772,-0.001372,-0.000241,0.001734,,0.008798,0.006323,0.004507,0.006612,0.007528,0.009989,0.011961,0.011526,0.011299,0.011545,0.011918,0.011543,0.013794,0.018529,0.01739,0.011044484
South Dakota,,0.00994,0.011308,0.009247,0.012284,0.010664,0.00821,0.005876,0.010566,0.011623,0.006471,0.008803,0.006301,0.009514,0.01514,0.010385,0.009385,,0.00994,0.011308,0.009247,0.012284,0.010664,0.00821,0.005876,0.010566,0.011623,0.006471,0.008803,0.006301,0.009514,0.01514,0.010385,0.009385,,0.006492,0.00654,0.005515,0.005447,0.005728,0.006263,0.00532,0.005234,0.004845,0.004834,0.004824,0.004245,0.001446,0.002341,0.003092,0.004925,,0.003448,0.005102,0.003398,0.006837,0.004936,0.001947,0.000557,0.005332,0.006778,0.001637,0.003979,0.002056,0.008068,0.012799,0.007293,0.005145014
Tennessee,,0.009381,0.007849,0.007046,0.008664,0.006381,0.007338,0.007752,0.008479,0.009543,0.009447,0.007693,0.008273,0.005431,0.012244,0.010996,0.008815,,0.009381,0.007849,0.007046,0.008664,0.006381,0.007338,0.007752,0.008479,0.009543,0.009447,0.007693,0.008273,0.005431,0.012244,0.010996,0.008815,,0.004337,0.003897,0.002901,0.003073,0.002598,0.002596,0.002409,0.002246,0.001681,0.001575,0.001585,0.000966,-0.001435,-0.001373,0.000146,0.00184,,0.005044,0.004171,0.003926,0.005591,0.003783,0.004742,0.005343,0.006233,0.007862,0.007871,0.006108,0.007307,0.006867,0.013618,0.010851,0.006768124
Texas,,0.020269,0.017746,0.01599,0.017103,0.015163,0.018257,0.018746,0.01622,0.013504,0.01179,0.012655,0.012901,0.011183,0.015851,0.015766,0.015248,,0.020269,0.017746,0.01599,0.017103,0.015163,0.018257,0.018746,0.01622,0.013504,0.01179,0.012655,0.012901,0.011183,0.015851,0.015766,0.015248,,0.01031,0.009944,0.008456,0.008146,0.007889,0.008066,0.007953,0.007783,0.006994,0.006333,0.006073,0.005428,0.003232,0.004136,0.00527,0.007413,,0.009959,0.008415,0.006922,0.008957,0.007274,0.010192,0.010793,0.008437,0.00651,0.005457,0.006581,0.007474,0.00795,0.011714,0.010496,0.00894183
Utah,,0.022678,0.019091,0.01419,0.013979,0.015636,0.013645,0.015417,0.020316,0.019479,0.01663,0.015286,0.014515,0.01684,0.012563,0.010794,0.016773,,0.022678,0.019091,0.01419,0.013979,0.015636,0.013645,0.015417,0.020316,0.019479,0.01663,0.015286,0.014515,0.01684,0.012563,0.010794,0.016773,,0.015845,0.015285,0.013298,0.012423,0.01247,0.011913,0.011481,0.011079,0.01039,0.009443,0.00937,0.008907,0.00722,0.006888,0.007333,0.011177,,0.006833,0.004194,0.000506,0.001556,0.003166,0.001732,0.003935,0.009236,0.009089,0.007187,0.005916,0.005608,0.00962,0.005675,0.003461,0.00570987
Vermont,,0.001067,0.001711,0.002095,-0.001333,0.000386,-0.001452,0.000187,-0.002307,0.001227,-0.000528,-0.00121,-0.00112,0.006466,0.000026,0.000547,0.002448,,0.001067,0.001711,0.002095,-0.001333,0.000386,-0.001452,0.000187,-0.002307,0.001227,-0.000528,-0.00121,-0.00112,0.00647,0.000026,0.000547,0.002448,,0.002134,0.001701,0.00099,0.001003,0.000679,0.000812,0.000105,0.00005,-0.000434,-0.000921,-0.000631,-0.001279,-0.002013,-0.00283,-0.002788,-0.000245,,-0.001067,0.000128,0.000986,-0.00234,-0.000292,-0.002265,0.000082,-0.002357,0.001661,0.000394,-0.000579,0.000159,0.008478,0.002856,0.003335,0.000639813
Virginia,,0.011801,0.012373,0.009775,0.010493,0.008355,0.007215,0.006238,0.006017,0.006339,0.004711,0.005372,0.003964,0.002334,0.002512,0.004217,0.00714,,0.011801,0.012373,0.009775,0.010493,0.008355,0.007215,0.006238,0.006017,0.006339,0.004711,0.005372,0.003964,0.002334,0.002512,0.004217,0.00714,,0.006153,0.005874,0.005221,0.005253,0.004769,0.004838,0.004566,0.004624,0.003826,0.003793,0.003388,0.002609,0.001217,0.001119,0.001808,0.004023,,0.005648,0.006577,0.004477,0.00524,0.003586,0.002377,0.001672,0.001393,0.002513,0.000918,0.001984,0.001355,0.001116,0.001393,0.002409,0.002912812
Washington,,0.01603,0.011336,0.012527,0.010417,0.009807,0.013103,0.015552,0.018511,0.017533,0.013307,0.011589,0.010453,0.002184,0.00556,0.003649,0.011697,,0.01603,0.011336,0.012527,0.010417,0.009807,0.013103,0.015552,0.018511,0.017533,0.013307,0.011589,0.010453,0.002184,0.00556,0.003649,0.011697,,0.006632,0.006013,0.005467,0.00546,0.00521,0.005181,0.004948,0.004987,0.004505,0.004027,0.003686,0.002978,0.002289,0.001683,0.001909,0.00452,,0.009399,0.005547,0.006836,0.004956,0.004596,0.007922,0.010603,0.013524,0.013028,0.00928,0.007903,0.007475,-0.000105,0.003878,0.00174,0.007336488
West Virginia,,0.004056,0.003512,0.001262,0.000452,-0.001442,-0.002264,-0.003911,-0.005912,-0.007505,-0.007,-0.005919,-0.005835,-0.003524,-0.006281,-0.002234,-0.002591,,0.004056,0.003512,0.001262,0.000452,-0.001442,-0.002264,-0.003911,-0.005912,-0.007505,-0.007,-0.005919,-0.005835,-0.003524,-0.006281,-0.002234,-0.002591,,-0.000237,-0.000393,-0.000772,-0.000436,-0.000706,-0.000582,-0.001442,-0.00169,-0.002285,-0.002769,-0.002729,-0.003747,-0.005893,-0.007229,-0.004885,-0.002379,,0.004293,0.003747,0.002193,0.000888,-0.000736,-0.001682,-0.002469,-0.004221,-0.00522,-0.004231,-0.003191,-0.002089,0.002369,0.000948,0.00265,-0.000451748
Wisconsin,,0.005011,0.003753,0.002689,0.002626,0.003004,0.002647,0.001691,0.002124,0.003113,0.002792,0.002627,0.001386,-0.002836,0.001797,0.003465,0.003121,,0.005011,0.003753,0.002689,0.002626,0.003004,0.002647,0.001691,0.002124,0.003113,0.002792,0.002627,0.001386,-0.002836,0.001797,0.003465,0.003121,,0.004285,0.004075,0.003393,0.003471,0.002948,0.003097,0.002763,0.00269,0.002331,0.001887,0.002056,0.001496,-0.000331,-0.000493,0.000195,0.002254,,0.000727,-0.000233,-0.000794,-0.000845,0.000056,-0.00045,-0.001072,-0.000566,0.000782,0.000904,0.000571,-0.00011,-0.002505,0.00229,0.00327,0.000143282
Wyoming,,0.025287,0.008359,0.005243,0.01615,0.010342,0.000925,0.005539,-0.001954,-0.008969,-0.001621,0.001834,0.003813,0.003261,0.003591,0.004174,0.004497,,0.025287,0.008359,0.005243,0.01615,0.010342,0.000925,0.005539,-0.001954,-0.008969,-0.001621,0.001834,0.003813,0.003261,0.003591,0.004174,0.004497,,0.007269,0.006459,0.005359,0.005404,0.005041,0.005484,0.005108,0.004973,0.003918,0.003267,0.00244,0.001557,-0.000021,-0.001222,0.000177,0.003753,,0.018019,0.001774,0.000011,0.010746,0.005301,-0.004559,0.00043,-0.006927,-0.012887,-0.004888,-0.000604,0.002256,0.003282,0.004812,0.003997,0.001344671
50 states,,0.008596,0.008104,0.006785,0.006804,0.006317,0.005331,0.004799,0.004096,0.003483,0.002794,0.003209,0.002915,0.002634,0.001594,0.003557,0.004735,,0.008782,0.008304,0.00726,0.007328,0.006916,0.007338,0.007363,0.007255,0.006331,0.005268,0.004561,0.003509,0.001583,0.003683,0.004917,0.006449,,0.005766,0.00541,0.004718,0.004601,0.004239,0.004363,0.004053,0.003946,0.003404,0.003057,0.00282,0.00206,0.000433,0.000665,0.001509,0.003451,,0.003016,0.002894,0.002542,0.002727,0.002677,0.002975,0.003309,0.00331,0.002927,0.002211,0.001743,0.001451,0.00115,0.003018,0.003408,0.002702796
Northeast,,0.004327,0.003517,0.002762,0.001833,0.000816,0.001068,0.000198,0.000369,0.001227,0.001128,-0.000798,-0.001,0.001396,-0.000902,0.002181,0.002542,,0.004327,0.003517,0.002762,0.001833,0.000816,0.001068,0.000198,0.000369,0.001227,0.001128,-0.000798,-0.001,0.001396,-0.000902,0.002181,0.002542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midwest,,0.005824,0.005751,0.004053,0.00331,0.003917,0.003272,0.002869,0.002377,0.003198,0.002591,0.002853,0.001595,0.000219,0.000822,0.00327,0.003604,,0.005824,0.005751,0.004053,0.00331,0.003917,0.003272,0.002869,0.002377,0.003198,0.002591,0.002853,0.001595,0.000219,0.000822,0.00327,0.003604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South,,0.009135,0.009756,0.007801,0.008453,0.006826,0.00689,0.006995,0.005262,0.005182,0.003754,0.004865,0.00452,0.00504,0.006427,0.007799,0.006906,,0.009135,0.009756,0.007801,0.008453,0.006826,0.00689,0.006995,0.005262,0.005182,0.003754,0.004865,0.00452,0.00504,0.006427,0.007799,0.006906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West,,0.013001,0.010538,0.009135,0.011335,0.009949,0.010534,0.012404,0.016385,0.013198,0.008739,0.007821,0.00855,0.003261,0.005066,0.004174,0.009954,,0.013001,0.010538,0.009135,0.011335,0.009949,0.010534,0.012404,0.016385,0.013198,0.008739,0.007821,0.00855,0.003261,0.005066,0.004174,0.009954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,